Produit,MAPE,RMSE,MAE,Nb_test
P001,39.861223247451335,49.03621565678398,39.87227219801683,13
P002,44.20769972975342,80.36474173741883,68.81912700946515,13
P003,39.52317380278523,52.28509960092364,40.90044461763822,13
P004,47.41239225804359,71.19602146612478,60.86242206280048,13
P005,33.86471492713164,25.793650777866038,21.60698758638822,13
P006,34.783971904345904,25.471504459691378,18.953495319073017,13
P007,53.25173333989872,145.44804435864418,114.81406578650841,13
