Date,ID_produit,Prévision,Chiffre_affaire
2025-11-02,P001,56.042587,280.2129364013672
2025-11-03,P001,150.37376,751.8688201904297
2025-11-04,P001,137.46806,687.3403167724609
2025-11-05,P001,121.9274,609.6369934082031
2025-11-06,P001,103.97657,519.8828506469727
2025-11-07,P001,84.0225,420.1124954223633
2025-11-08,P001,67.98972,339.94861602783203
2025-11-09,P001,55.89586,279.4792938232422
2025-11-10,P001,149.84064,749.2031860351562
2025-11-11,P001,136.924,684.6199798583984
2025-11-02,P002,93.565414,280.6962432861328
2025-11-03,P002,237.00388,711.0116271972656
2025-11-04,P002,229.10149,687.3044586181641
2025-11-05,P002,219.81299,659.43896484375
2025-11-06,P002,205.23746,615.7123718261719
2025-11-07,P002,166.83899,500.5169677734375
2025-11-08,P002,121.43,364.29000091552734
2025-11-09,P002,91.19705,273.5911560058594
2025-11-10,P002,235.60152,706.8045501708984
2025-11-11,P002,227.90404,683.7121124267578
2025-11-02,P003,91.86549,413.3947219848633
2025-11-03,P003,200.51413,902.3135833740234
2025-11-04,P003,191.47282,861.6277084350586
2025-11-05,P003,181.7886,818.0487213134766
2025-11-06,P003,169.23602,761.5621032714844
2025-11-07,P003,146.40938,658.8422012329102
2025-11-08,P003,119.25477,536.6464576721191
2025-11-09,P003,91.808205,413.1369209289551
2025-11-10,P003,200.37672,901.6952590942383
2025-11-11,P003,191.36467,861.1410140991211
2025-11-02,P004,133.41331,333.53328704833984
2025-11-03,P004,231.8004,579.5009994506836
2025-11-04,P004,226.12784,565.3195953369141
2025-11-05,P004,218.75073,546.8768310546875
2025-11-06,P004,206.9928,517.4819946289062
2025-11-07,P004,189.68222,474.20555114746094
2025-11-08,P004,164.37051,410.92628479003906
2025-11-09,P004,134.31596,335.78990936279297
2025-11-10,P004,232.0069,580.0172424316406
2025-11-11,P004,226.45935,566.1483764648438
2025-11-02,P005,44.180412,2209.0206146240234
2025-11-03,P005,94.593765,4729.688262939453
2025-11-04,P005,92.83794,4641.896820068359
2025-11-05,P005,89.54708,4477.354049682617
2025-11-06,P005,82.07534,4103.767013549805
2025-11-07,P005,60.907616,3045.3807830810547
2025-11-08,P005,50.508137,2525.406837463379
2025-11-09,P005,44.09207,2204.6035766601562
2025-11-10,P005,93.89474,4694.736862182617
2025-11-11,P005,92.129005,4606.450271606445
2025-11-02,P006,38.735565,271.1489562988281
2025-11-03,P006,88.902664,622.3186492919922
2025-11-04,P006,84.1385,588.9694747924805
2025-11-05,P006,79.63835,557.4684600830078
2025-11-06,P006,74.985596,524.899169921875
2025-11-07,P006,63.17747,442.2422981262207
2025-11-08,P006,49.61558,347.3090705871582
2025-11-09,P006,38.205723,267.44005966186523
2025-11-10,P006,86.85696,607.9986953735352
2025-11-11,P006,82.1738,575.2165832519531
2025-11-02,P007,188.73244,4718.310928344727
2025-11-03,P007,413.99643,10349.910736083984
2025-11-04,P007,407.97668,10199.417114257812
2025-11-05,P007,402.05865,10051.466369628906
2025-11-06,P007,386.95493,9673.873138427734
2025-11-07,P007,324.59708,8114.926910400391
2025-11-08,P007,233.5993,5839.982604980469
2025-11-09,P007,189.20601,4730.15022277832
2025-11-10,P007,415.6011,10390.027618408203
2025-11-11,P007,409.57318,10239.329528808594
