Date,ID_produit,Prévision,Chiffre_affaire
2025-12-15,P001,136.05286,680.2642822265625
2025-12-16,P001,136.05286,680.2642822265625
2025-12-17,P001,144.78244,723.9122009277344
2025-12-18,P001,133.87648,669.3824005126953
2025-12-19,P001,133.6322,668.1610107421875
2025-12-20,P001,78.084625,390.4231262207031
2025-12-21,P001,78.4388,392.19398498535156
2025-12-22,P001,142.90079,714.5039367675781
2025-12-23,P001,142.90079,714.5039367675781
2025-12-24,P001,143.01135,715.0567626953125
2025-12-25,P001,129.27274,646.3636779785156
2025-12-26,P001,131.36089,656.8044281005859
2025-12-27,P001,84.455986,422.2799301147461
2025-12-28,P001,78.41041,392.05204010009766
2025-12-29,P001,133.79984,668.9991760253906
2025-12-15,P002,247.95796,743.8738861083984
2025-12-16,P002,247.95796,743.8738861083984
2025-12-17,P002,251.63765,754.9129486083984
2025-12-18,P002,215.54257,646.6277160644531
2025-12-19,P002,206.69255,620.0776519775391
2025-12-20,P002,105.41436,316.24308013916016
2025-12-21,P002,103.80337,311.4101028442383
2025-12-22,P002,249.34993,748.0497894287109
2025-12-23,P002,249.34993,748.0497894287109
2025-12-24,P002,270.64523,811.9356994628906
2025-12-25,P002,231.2723,693.8168792724609
2025-12-26,P002,234.03441,702.1032257080078
2025-12-27,P002,128.46272,385.38816833496094
2025-12-28,P002,124.55537,373.66609954833984
2025-12-29,P002,266.0826,798.2478332519531
2025-12-15,P003,173.88564,782.4853591918945
2025-12-16,P003,173.88564,782.4853591918945
2025-12-17,P003,169.74028,763.8312606811523
2025-12-18,P003,167.25883,752.6647567749023
2025-12-19,P003,133.78111,602.015007019043
2025-12-20,P003,77.680916,349.5641212463379
2025-12-21,P003,77.8355,350.25976181030273
2025-12-22,P003,137.6245,619.3102340698242
2025-12-23,P003,137.6245,619.3102340698242
2025-12-24,P003,112.43246,505.9460563659668
2025-12-25,P003,114.182556,513.8215026855469
2025-12-26,P003,103.76351,466.9358024597168
2025-12-27,P003,65.780525,296.0123634338379
2025-12-28,P003,75.50632,339.77842712402344
2025-12-29,P003,168.52174,758.3478469848633
2025-12-15,P004,207.69781,519.2445373535156
2025-12-16,P004,207.69781,519.2445373535156
2025-12-17,P004,205.05858,512.6464462280273
2025-12-18,P004,207.66132,519.1532897949219
2025-12-19,P004,257.98914,644.9728393554688
2025-12-20,P004,182.69109,456.7277145385742
2025-12-21,P004,216.57384,541.4345932006836
2025-12-22,P004,234.36345,585.9086227416992
2025-12-23,P004,234.36345,585.9086227416992
2025-12-24,P004,201.10709,502.76771545410156
2025-12-25,P004,219.00089,547.5022125244141
2025-12-26,P004,220.9499,552.3747634887695
2025-12-27,P004,163.81429,409.5357131958008
2025-12-28,P004,162.51761,406.2940216064453
2025-12-29,P004,217.45256,543.6314010620117
2025-12-15,P005,105.414276,5270.713806152344
2025-12-16,P005,105.414276,5270.713806152344
2025-12-17,P005,112.96164,5648.081970214844
2025-12-18,P005,100.82972,5041.485977172852
2025-12-19,P005,97.23458,4861.729049682617
2025-12-20,P005,53.52162,2676.081085205078
2025-12-21,P005,52.79279,2639.639472961426
2025-12-22,P005,102.46605,5123.302459716797
2025-12-23,P005,102.46605,5123.302459716797
2025-12-24,P005,105.10033,5255.016326904297
2025-12-25,P005,93.3014,4665.069961547852
2025-12-26,P005,94.33198,4716.598892211914
2025-12-27,P005,57.50147,2875.0734329223633
2025-12-28,P005,59.15355,2957.677459716797
2025-12-29,P005,114.11448,5705.72395324707
2025-12-15,P006,79.14072,553.9850158691406
2025-12-16,P006,79.14072,553.9850158691406
2025-12-17,P006,81.250916,568.7564086914062
2025-12-18,P006,77.64314,543.5019989013672
2025-12-19,P006,83.26137,582.8295745849609
2025-12-20,P006,47.906254,335.34377670288086
2025-12-21,P006,45.729843,320.10890197753906
2025-12-22,P006,76.759056,537.3133926391602
2025-12-23,P006,76.759056,537.3133926391602
2025-12-24,P006,76.16674,533.1671829223633
2025-12-25,P006,74.55258,521.8680725097656
2025-12-26,P006,73.42599,513.9819107055664
2025-12-27,P006,44.49607,311.47249603271484
2025-12-28,P006,42.396378,296.77464294433594
2025-12-29,P006,79.260315,554.8222045898438
2025-12-15,P007,446.82858,11170.714569091797
2025-12-16,P007,446.82858,11170.714569091797
2025-12-17,P007,447.93973,11198.493194580078
2025-12-18,P007,407.48123,10187.030792236328
2025-12-19,P007,302.26395,7556.598663330078
2025-12-20,P007,116.23247,2905.8116912841797
2025-12-21,P007,111.13016,2778.253936767578
2025-12-22,P007,432.76166,10819.041442871094
2025-12-23,P007,432.76166,10819.041442871094
2025-12-24,P007,457.38638,11434.659576416016
2025-12-25,P007,414.56305,10364.076232910156
2025-12-26,P007,356.7658,8919.145202636719
2025-12-27,P007,137.66167,3441.5416717529297
2025-12-28,P007,132.79349,3319.837188720703
2025-12-29,P007,433.8186,10845.465087890625
