Date,ID_produit,Prévision,Chiffre_affaire
2025-11-25,P001,138.29124,691.4562225341797
2025-11-26,P001,132.34201,661.7100524902344
2025-11-27,P001,108.88969,544.4484329223633
2025-11-28,P001,83.18378,415.91888427734375
2025-11-29,P001,70.35453,351.7726516723633
2025-11-30,P001,58.190952,290.95476150512695
2025-12-01,P001,135.11787,675.5893707275391
2025-12-02,P001,132.50067,662.5033569335938
2025-12-03,P001,129.14677,645.7338714599609
2025-12-04,P001,108.99854,544.9927139282227
2025-12-05,P001,82.91193,414.55963134765625
2025-12-06,P001,69.74304,348.7152099609375
2025-12-07,P001,56.31162,281.5580940246582
2025-12-08,P001,134.83498,674.1748809814453
2025-12-09,P001,132.44383,662.2191619873047
2025-12-10,P001,128.80345,644.0172576904297
2025-12-11,P001,107.90274,539.5137023925781
2025-12-12,P001,82.33371,411.6685485839844
2025-12-13,P001,69.077415,345.38707733154297
2025-12-14,P001,55.42092,277.10460662841797
2025-12-15,P001,134.66614,673.3306884765625
2025-12-16,P001,132.5879,662.9395294189453
2025-12-17,P001,128.45648,642.2824096679688
2025-12-18,P001,106.895424,534.4771194458008
2025-11-25,P002,244.82422,734.47265625
2025-11-26,P002,230.0378,690.1133880615234
2025-11-27,P002,198.93758,596.8127288818359
2025-11-28,P002,156.87965,470.6389617919922
2025-11-29,P002,125.509735,376.5292053222656
2025-11-30,P002,103.407295,310.22188568115234
2025-12-01,P002,253.57477,760.7243041992188
2025-12-02,P002,240.954,722.8619842529297
2025-12-03,P002,227.49338,682.4801330566406
2025-12-04,P002,198.69133,596.0739898681641
2025-12-05,P002,156.69157,470.07472229003906
2025-12-06,P002,125.211,375.63299560546875
2025-12-07,P002,102.136734,306.4102020263672
2025-12-08,P002,252.99638,758.9891510009766
2025-12-09,P002,240.38165,721.1449584960938
2025-12-10,P002,226.77832,680.3349609375
2025-12-11,P002,198.42717,595.2815093994141
2025-12-12,P002,156.41454,469.2436065673828
2025-12-13,P002,124.69749,374.0924606323242
2025-12-14,P002,101.91235,305.737060546875
2025-12-15,P002,252.4992,757.4976196289062
2025-12-16,P002,240.12695,720.380859375
2025-12-17,P002,226.41771,679.2531280517578
2025-12-18,P002,198.81874,596.4562225341797
2025-11-25,P003,124.76038,561.4217262268066
2025-11-26,P003,119.41832,537.382438659668
2025-11-27,P003,112.19785,504.8903388977051
2025-11-28,P003,87.50456,393.7705307006836
2025-11-29,P003,71.65437,322.4446792602539
2025-11-30,P003,66.24862,298.1187858581543
2025-12-01,P003,124.04876,558.2194175720215
2025-12-02,P003,121.78764,548.0443954467773
2025-12-03,P003,118.40163,532.8073196411133
2025-12-04,P003,110.69424,498.1240653991699
2025-12-05,P003,84.85199,381.8339538574219
2025-12-06,P003,71.08581,319.88613510131836
2025-12-07,P003,65.80243,296.1109313964844
2025-12-08,P003,126.15828,567.7122573852539
2025-12-09,P003,123.53784,555.9202880859375
2025-12-10,P003,120.2759,541.2415580749512
2025-12-11,P003,113.26024,509.6710739135742
2025-12-12,P003,87.69712,394.6370429992676
2025-12-13,P003,72.51387,326.31241607666016
2025-12-14,P003,66.42049,298.8921890258789
2025-12-15,P003,128.91064,580.097900390625
2025-12-16,P003,126.20472,567.9212379455566
2025-12-17,P003,122.990486,553.4571876525879
2025-12-18,P003,115.706474,520.6791343688965
2025-11-25,P004,217.33446,543.3361434936523
2025-11-26,P004,205.24219,513.10546875
2025-11-27,P004,186.72519,466.81297302246094
2025-11-28,P004,150.35039,375.87596893310547
2025-11-29,P004,114.834694,287.0867347717285
2025-11-30,P004,93.87695,234.6923828125
2025-12-01,P004,217.94562,544.8640441894531
2025-12-02,P004,208.60248,521.5061950683594
2025-12-03,P004,194.5668,486.41700744628906
2025-12-04,P004,173.54622,433.8655471801758
2025-12-05,P004,137.15338,342.8834533691406
2025-12-06,P004,108.84601,272.1150207519531
2025-12-07,P004,87.70186,219.25464630126953
2025-12-08,P004,217.66304,544.157600402832
2025-12-09,P004,208.49254,521.2313461303711
2025-12-10,P004,194.54686,486.36714935302734
2025-12-11,P004,173.52716,433.8179016113281
2025-12-12,P004,136.6927,341.7317581176758
2025-12-13,P004,108.55945,271.39862060546875
2025-12-14,P004,87.36382,218.4095573425293
2025-12-15,P004,217.12883,542.8220748901367
2025-12-16,P004,207.93303,519.8325729370117
2025-12-17,P004,194.3266,485.8164978027344
2025-12-18,P004,173.33322,433.3330535888672
2025-11-25,P005,102.09204,5104.60205078125
2025-11-26,P005,99.75838,4987.918853759766
2025-11-27,P005,92.80532,4640.266036987305
2025-11-28,P005,65.11392,3255.6961059570312
2025-11-29,P005,52.452763,2622.6381301879883
2025-11-30,P005,42.96803,2148.40145111084
2025-12-01,P005,99.804276,4990.213775634766
2025-12-02,P005,99.1009,4955.044937133789
2025-12-03,P005,96.57792,4828.895950317383
2025-12-04,P005,86.342705,4317.135238647461
2025-12-05,P005,60.585884,3029.294204711914
2025-12-06,P005,49.573784,2478.689193725586
2025-12-07,P005,41.26548,2063.2740020751953
2025-12-08,P005,99.66183,4983.091354370117
2025-12-09,P005,98.99879,4949.939346313477
2025-12-10,P005,96.7324,4836.61994934082
2025-12-11,P005,87.33397,4366.698455810547
2025-12-12,P005,61.02943,3051.471519470215
2025-12-13,P005,49.890102,2494.5051193237305
2025-12-14,P005,41.39486,2069.742965698242
2025-12-15,P005,99.63814,4981.906890869141
2025-12-16,P005,99.018814,4950.940704345703
2025-12-17,P005,96.99331,4849.665451049805
2025-12-18,P005,88.50039,4425.019454956055
2025-11-25,P006,78.8471,551.9296951293945
2025-11-26,P006,74.40748,520.8523483276367
2025-11-27,P006,64.75788,453.30516815185547
2025-11-28,P006,53.070404,371.4928283691406
2025-11-29,P006,42.90958,300.36706161499023
2025-11-30,P006,34.14889,239.04224014282227
2025-12-01,P006,77.33746,541.3622436523438
2025-12-02,P006,75.47026,528.2918243408203
2025-12-03,P006,71.851814,502.9626998901367
2025-12-04,P006,62.95755,440.7028503417969
2025-12-05,P006,50.625927,354.3814888000488
2025-12-06,P006,41.05061,287.3542671203613
2025-12-07,P006,31.890223,223.23155784606934
2025-12-08,P006,77.1962,540.3733825683594
2025-12-09,P006,75.42542,527.9779586791992
2025-12-10,P006,71.967445,503.7721176147461
2025-12-11,P006,63.260963,442.82674407958984
2025-12-12,P006,50.77444,355.421085357666
2025-12-13,P006,41.108845,287.76191329956055
2025-12-14,P006,31.906668,223.3466739654541
2025-12-15,P006,77.18586,540.3010177612305
2025-12-16,P006,75.51172,528.58203125
2025-12-17,P006,72.1891,505.32371520996094
2025-12-18,P006,63.591652,445.14156341552734
2025-11-25,P007,429.71405,10742.851257324219
2025-11-26,P007,402.1186,10052.964782714844
2025-11-27,P007,370.06427,9251.606750488281
2025-11-28,P007,332.77423,8319.355773925781
2025-11-29,P007,262.96902,6574.225616455078
2025-11-30,P007,195.95036,4898.759078979492
2025-12-01,P007,446.42932,11160.733032226562
2025-12-02,P007,422.9799,10574.49722290039
2025-12-03,P007,394.19443,9854.86068725586
2025-12-04,P007,361.46484,9036.62109375
2025-12-05,P007,321.3842,8034.604644775391
2025-12-06,P007,244.81076,6120.269012451172
2025-12-07,P007,182.69446,4567.3614501953125
2025-12-08,P007,447.71085,11192.77114868164
2025-12-09,P007,425.0747,10626.86767578125
2025-12-10,P007,396.43204,9910.80093383789
2025-12-11,P007,363.11774,9077.943420410156
2025-12-12,P007,323.8674,8096.685028076172
2025-12-13,P007,247.65085,6191.271209716797
2025-12-14,P007,184.30605,4607.651138305664
2025-12-15,P007,448.69122,11217.280578613281
2025-12-16,P007,426.75967,10668.99185180664
2025-12-17,P007,398.13635,9953.408813476562
2025-12-18,P007,364.50177,9112.544250488281
