Date,ID_produit,Prévision,Chiffre_affaire
2025-11-25,P001,136.33536,681.6767883300781
2025-11-26,P001,139.9575,699.7875213623047
2025-11-27,P001,128.0376,640.18798828125
2025-11-28,P001,128.30893,641.5446472167969
2025-11-29,P001,67.57162,337.8580856323242
2025-11-30,P001,71.760796,358.8039779663086
2025-11-25,P002,290.89008,872.6702270507812
2025-11-26,P002,292.75284,878.2585144042969
2025-11-27,P002,260.78262,782.3478698730469
2025-11-28,P002,259.1154,777.3461608886719
2025-11-29,P002,129.62167,388.8650207519531
2025-11-30,P002,126.4255,379.27649688720703
2025-11-25,P003,205.16527,923.2437057495117
2025-11-26,P003,212.57472,956.5862503051758
2025-11-27,P003,192.58925,866.6516189575195
2025-11-28,P003,176.94403,796.2481384277344
2025-11-29,P003,76.081436,342.36646270751953
2025-11-30,P003,65.9548,296.79661560058594
2025-11-25,P004,252.18515,630.4628753662109
2025-11-26,P004,239.01869,597.5467300415039
2025-11-27,P004,219.31126,548.2781600952148
2025-11-28,P004,202.56964,506.4241027832031
2025-11-29,P004,121.832375,304.58093643188477
2025-11-30,P004,120.41151,301.0287666320801
2025-11-25,P005,87.93899,4396.94938659668
2025-11-26,P005,90.388535,4519.426727294922
2025-11-27,P005,87.96883,4398.441314697266
2025-11-28,P005,87.950455,4397.522735595703
2025-11-29,P005,44.612293,2230.61466217041
2025-11-30,P005,43.39763,2169.8814392089844
2025-11-25,P006,96.28991,674.0293655395508
2025-11-26,P006,101.41782,709.9247665405273
2025-11-27,P006,97.53988,682.7791519165039
2025-11-28,P006,93.92339,657.463752746582
2025-11-29,P006,50.29575,352.0702476501465
2025-11-30,P006,42.307934,296.1555366516113
2025-11-25,P007,406.53732,10163.433074951172
2025-11-26,P007,407.48047,10187.01171875
2025-11-27,P007,371.85107,9296.27685546875
2025-11-28,P007,370.64902,9266.22543334961
2025-11-29,P007,216.72253,5418.0633544921875
2025-11-30,P007,209.07211,5226.802825927734
