Date,ID_produit,Prévision,Chiffre_affaire
2025-12-15,P001,149.17615,745.8807373046875
2025-12-16,P001,146.36514,731.8257141113281
2025-12-17,P001,141.94453,709.7226715087891
2025-12-18,P001,137.23048,686.1524200439453
2025-12-19,P001,132.38675,661.9337463378906
2025-12-20,P001,123.81832,619.0916061401367
2025-12-21,P001,101.110214,505.5510711669922
2025-12-22,P001,148.72536,743.6267852783203
2025-12-23,P001,145.55453,727.7726745605469
2025-12-24,P001,141.40024,707.0011901855469
2025-12-25,P001,136.71954,683.5977172851562
2025-12-26,P001,131.89075,659.4537353515625
2025-12-27,P001,124.54683,622.7341461181641
2025-12-28,P001,103.298706,516.4935302734375
2025-12-29,P001,148.24261,741.2130737304688
2025-12-15,P002,233.94748,701.8424377441406
2025-12-16,P002,234.76726,704.3017730712891
2025-12-17,P002,235.481,706.4430084228516
2025-12-18,P002,236.11874,708.3562316894531
2025-12-19,P002,234.74846,704.2453765869141
2025-12-20,P002,223.45227,670.3568115234375
2025-12-21,P002,188.50122,565.503662109375
2025-12-22,P002,234.46896,703.4068908691406
2025-12-23,P002,235.43304,706.2991333007812
2025-12-24,P002,236.23814,708.7144317626953
2025-12-25,P002,236.87416,710.6224822998047
2025-12-26,P002,236.14867,708.4459991455078
2025-12-27,P002,226.27673,678.8302001953125
2025-12-28,P002,193.03342,579.1002502441406
2025-12-29,P002,235.30492,705.9147491455078
2025-12-15,P003,179.15329,806.1898040771484
2025-12-16,P003,176.5354,794.4093017578125
2025-12-17,P003,174.30743,784.3834533691406
2025-12-18,P003,170.89961,769.0482559204102
2025-12-19,P003,164.02623,738.118034362793
2025-12-20,P003,145.55026,654.9761810302734
2025-12-21,P003,101.69095,457.60926818847656
2025-12-22,P003,179.86974,809.4138107299805
2025-12-23,P003,177.47832,798.6524276733398
2025-12-24,P003,175.29103,788.8096389770508
2025-12-25,P003,171.85886,773.3648529052734
2025-12-26,P003,165.13617,743.1127624511719
2025-12-27,P003,151.84221,683.2899398803711
2025-12-28,P003,107.165596,482.2451820373535
2025-12-29,P003,180.69559,813.1301422119141
2025-12-15,P004,252.56235,631.4058685302734
2025-12-16,P004,243.73126,609.3281555175781
2025-12-17,P004,234.7896,586.973991394043
2025-12-18,P004,225.80478,564.5119476318359
2025-12-19,P004,212.86594,532.1648406982422
2025-12-20,P004,197.73717,494.3429183959961
2025-12-21,P004,175.79626,439.49066162109375
2025-12-22,P004,252.40227,631.0056686401367
2025-12-23,P004,243.50041,608.7510299682617
2025-12-24,P004,234.49883,586.2470626831055
2025-12-25,P004,225.45721,563.6430358886719
2025-12-26,P004,213.4322,533.5805130004883
2025-12-27,P004,198.41853,496.0463333129883
2025-12-28,P004,177.48244,443.70609283447266
2025-12-29,P004,251.83553,629.5888137817383
2025-12-15,P005,96.26842,4813.420867919922
2025-12-16,P005,94.47068,4723.53401184082
2025-12-17,P005,92.3562,4617.81005859375
2025-12-18,P005,89.36863,4468.43147277832
2025-12-19,P005,85.731094,4286.554718017578
2025-12-20,P005,81.90944,4095.471954345703
2025-12-21,P005,73.47776,3673.8880157470703
2025-12-22,P005,96.09162,4804.581069946289
2025-12-23,P005,94.31819,4715.909576416016
2025-12-24,P005,92.27928,4613.964080810547
2025-12-25,P005,89.36575,4468.287658691406
2025-12-26,P005,85.6704,4283.520126342773
2025-12-27,P005,81.72127,4086.0633850097656
2025-12-28,P005,73.38465,3669.2325592041016
2025-12-29,P005,95.93669,4796.834564208984
2025-12-15,P006,78.76001,551.320068359375
2025-12-16,P006,79.889946,559.229621887207
2025-12-17,P006,80.72138,565.049674987793
2025-12-18,P006,80.40464,562.8324813842773
2025-12-19,P006,78.804565,551.6319580078125
2025-12-20,P006,76.43812,535.0668258666992
2025-12-21,P006,69.400635,485.804443359375
2025-12-22,P006,79.04993,553.3494873046875
2025-12-23,P006,80.18939,561.3257446289062
2025-12-24,P006,81.118996,567.8329696655273
2025-12-25,P006,80.81921,565.7344436645508
2025-12-26,P006,79.223236,554.5626525878906
2025-12-27,P006,76.91439,538.4007339477539
2025-12-28,P006,70.927246,496.49072265625
2025-12-29,P006,79.459595,556.2171630859375
2025-12-15,P007,425.0661,10626.652526855469
2025-12-16,P007,417.49066,10437.266540527344
2025-12-17,P007,404.30078,10107.51953125
2025-12-18,P007,388.07294,9701.823425292969
2025-12-19,P007,369.2762,9231.905364990234
2025-12-20,P007,342.29974,8557.493591308594
2025-12-21,P007,288.8059,7220.147705078125
2025-12-22,P007,427.7137,10692.842864990234
2025-12-23,P007,420.9058,10522.644805908203
2025-12-24,P007,407.85242,10196.310424804688
2025-12-25,P007,391.39172,9784.793090820312
2025-12-26,P007,373.42575,9335.643768310547
2025-12-27,P007,350.09232,8752.307891845703
2025-12-28,P007,298.74866,7468.7164306640625
2025-12-29,P007,428.68365,10717.091369628906
